;t;Eigengeschwindigkeit(m/s);Bbox_Breite;Bbox_Höhe;Bbox_links_unten_y;Abstand(m);v(km/h);width;height;a(km/h^2)
0;0.0;22.0;244;304;51;25.5;73.85341463778441;1.475;1.775;1.4965904362619034
1;0.1;22.1;240;300;53;26.5;74.38968130552297;1.465;1.765;1.482668828952354
2;0.2;22.1;245;306;51;25.5;74.9209361946301;1.48;1.785;1.4687472216428046
3;0.3;22.1;240;299;53;26.5;75.44717930510579;1.465;1.76;1.4548256143332552
4;0.4;22.1;236;294;53;26.5;75.96841063695004;1.445;1.735;1.4409040070237056
5;0.5;22.1;244;305;52;26.0;76.48463019016286;1.48;1.785;1.4269823997141562
6;0.6;22.1;238;297;54;27.0;76.99583796474424;1.46;1.755;1.4130607924046068
7;0.7;22.1;236;294;55;27.5;77.50203396069418;1.455;1.745;1.3991391850950574
8;0.8;22.1;242;302;53;26.5;78.00321817801269;1.475;1.775;1.385217577785508
9;0.9;22.2;240;300;53;26.5;78.49939061669974;1.465;1.765;1.3712959704759586
10;1.0;22.2;242;302;53;26.5;78.99055127675537;1.475;1.775;1.357374363166409
11;1.1;22.1;240;300;53;26.5;79.47670015817955;1.465;1.765;1.3434527558568596
12;1.2;22.1;236;294;54;27.0;79.95783726097231;1.45;1.74;1.3295311485473102
13;1.3;22.0;239;298;53;26.5;80.43396258513363;1.46;1.755;1.3156095412377609
14;1.4;22.1;236;295;53;26.5;80.9050761306635;1.445;1.74;1.3016879339282115
15;1.5;22.1;241;301;54;27.0;81.37117789756194;1.475;1.775;1.287766326618662
16;1.6;22.2;240;300;53;26.5;81.83226788582894;1.465;1.765;1.2738447193091125
17;1.7;22.2;236;295;54;27.0;82.2883460954645;1.45;1.745;1.259923111999563
18;1.8;22.1;234;292;55;27.5;82.73941252646863;1.445;1.735;1.2460015046900137
19;1.9;22.1;233;291;56;28.0;83.18546717884131;1.445;1.735;1.2320798973804643
20;2.0;22.2;237;296;53;26.5;83.62651005258256;1.45;1.745;1.218158290070915
21;2.1;22.1;239;298;54;27.0;84.06254114769237;1.465;1.76;1.2042366827613655
22;2.2;22.0;233;291;56;28.0;84.49356046417074;1.445;1.735;1.190315075451816
23;2.3;22.1;236;294;56;28.0;84.91956800201768;1.46;1.75;1.1763934681422665
24;2.4;22.1;239;298;56;28.0;85.34056376123317;1.475;1.77;1.1624718608327171
25;2.5;22.1;239;298;55;27.5;85.75654774181723;1.47;1.765;1.1485502535231678
26;2.6;22.0;240;299;54;27.0;86.16751994376986;1.47;1.765;1.1346286462136184
27;2.7;22.0;232;290;57;28.5;86.57348036709104;1.445;1.735;1.1207070389040688
