;t;Eigengeschwindigkeit(m/s);Bbox_Breite;Bbox_Höhe;Bbox_links_unten_y;Abstand(m);v(km/h);width;height;a(km/h^2)
0;0.0;16.1;61;121;142;71.0;28.77359676886199;1.015;1.315;0.6409605509089926
1;0.1;16.1;64;128;141;70.5;29.003021046814894;1.025;1.345;0.6336187710516051
2;0.2;16.0;64;127;138;69.0;29.229802284019144;1.01;1.325;0.6262769911942176
3;0.3;16.1;66;131;138;69.0;29.45394048047473;1.02;1.345;0.6189352113368302
4;0.4;16.0;67;134;137;68.5;29.675435636181664;1.02;1.355;0.6115934314794427
5;0.5;16.2;67;133;135;67.5;29.89428775113993;1.01;1.34;0.6042516516220552
6;0.6;16.1;71;141;133;66.5;30.11049682534954;1.02;1.37;0.5969098717646678
7;0.7;16.0;69;137;132;66.0;30.324062858810493;1.005;1.345;0.5895680919072803
8;0.8;16.1;72;143;131;65.5;30.53498585152278;1.015;1.37;0.5822263120498928
9;0.9;16.0;74;148;130;65.0;30.743265803486416;1.02;1.39;0.5748845321925053
10;1.0;16.2;71;141;130;65.0;30.94890271470138;1.005;1.355;0.5675427523351179
11;1.1;16.0;74;147;127;63.5;31.151896585167698;1.005;1.37;0.5602009724777304
12;1.2;16.2;76;151;125;62.5;31.35224741488535;1.005;1.38;0.552859192620343
13;1.3;16.1;80;159;124;62.0;31.549955203854342;1.02;1.415;0.5455174127629555
14;1.4;16.0;81;161;123;61.5;31.745019952074678;1.02;1.42;0.538175632905568
15;1.5;16.1;80;160;123;61.5;31.93744165954635;1.015;1.415;0.5308338530481806
16;1.6;16.0;84;167;121;60.5;32.12722032626937;1.025;1.44;0.5234920731907932
17;1.7;16.2;81;162;119;59.5;32.31435595224372;1.0;1.405;0.5161502933334058
18;1.8;16.1;83;166;118;59.0;32.49884853746942;1.005;1.42;0.5088085134760183
19;1.9;16.1;87;173;115;57.5;32.68069808194646;1.01;1.44;0.5014667336186309
