;t;Eigengeschwindigkeit(m/s);Bbox_Breite;Bbox_Höhe;Bbox_links_unten_y;Abstand(m);v(km/h);width;height;a(km/h^2)
0;0.0;22.0;254;209;100;50.0;73.83432149409211;1.77;1.545;1.4690175432957178
1;0.1;22.1;242;199;102;51.0;74.36082329478494;1.72;1.505;1.4559924605533254
2;0.2;22.1;247;203;103;51.5;74.8826360656905;1.75;1.53;1.442967377810933
3;0.3;22.1;248;204;102;51.0;75.39975980680882;1.75;1.53;1.4299422950685408
4;0.4;22.1;236;194;104;52.0;75.91219451813986;1.7;1.49;1.4169172123261484
5;0.5;22.1;242;199;102;51.0;76.41994019968364;1.72;1.505;1.403892129583756
6;0.6;22.2;239;197;103;51.5;76.92299685144016;1.71;1.5;1.3908670468413638
7;0.7;22.2;249;205;102;51.0;77.42136447340943;1.755;1.535;1.3778419640989714
8;0.8;22.1;238;196;104;52.0;77.91504306559142;1.71;1.5;1.364816881356579
9;0.9;22.1;242;199;103;51.5;78.40403262798615;1.725;1.51;1.3517917986141867
10;1.0;22.1;239;197;104;52.0;78.88833316059363;1.715;1.505;1.3387667158717944
11;1.1;22.2;241;198;103;51.5;79.36794466341385;1.72;1.505;1.325741633129402
12;1.2;22.2;242;199;104;52.0;79.8428671364468;1.73;1.515;1.3127165503870097
13;1.3;22.2;235;193;105;52.5;80.3131005796925;1.7;1.49;1.2996914676446174
14;1.4;22.2;242;199;105;52.5;80.77864499315093;1.735;1.52;1.2866663849022253
15;1.5;22.1;238;196;103;51.5;81.2395003768221;1.705;1.495;1.2736413021598327
16;1.6;22.1;274;201;104;52.0;81.69566673070602;1.89;1.525;1.2606162194174404
17;1.7;22.2;238;196;106;53.0;82.14714405480265;1.72;1.51;1.247591136675048
18;1.8;22.1;239;197;104;52.0;82.59393234911205;1.715;1.505;1.2345660539326557
19;1.9;22.2;239;197;104;52.0;83.03603161363417;1.715;1.505;1.2215409711902634
20;2.0;22.0;232;191;105;52.5;83.47344184836903;1.685;1.48;1.208515888447871
21;2.1;22.2;231;190;106;53.0;83.90616305331665;1.685;1.48;1.1954908057054787
22;2.2;22.2;236;194;104;52.0;84.33419522847699;1.7;1.49;1.1824657229630864
23;2.3;22.1;237;195;104;52.0;84.75753837385005;1.705;1.495;1.1694406402206943
24;2.4;22.0;235;193;105;52.5;85.17619248943588;1.7;1.49;1.156415557478302
25;2.5;22.2;237;195;105;52.5;85.59015757523444;1.71;1.5;1.1433904747359094
26;2.6;22.0;235;193;105;52.5;85.99943363124574;1.7;1.49;1.130365391993517
27;2.7;22.1;239;197;105;52.5;86.40402065746977;1.72;1.51;1.1173403092511247
28;2.8;22.2;230;189;107;53.5;86.80391865390655;1.685;1.48;1.1043152265087324
29;2.9;22.1;239;197;105;52.5;87.19912762055607;1.72;1.51;1.09129014376634
30;3.0;22.2;226;186;108;54.0;87.58964755741832;1.67;1.47;1.0782650610239477
31;3.1;22.0;232;191;107;53.5;87.97547846449329;1.695;1.49;1.0652399782815554
32;3.2;22.2;229;188;107;53.5;88.35662034178102;1.68;1.475;1.052214895539163
33;3.3;22.1;233;192;107;53.5;88.73307318928148;1.7;1.495;1.0391898127967707
34;3.4;22.2;227;187;108;54.0;89.1048370069947;1.675;1.475;1.0261647300543784
35;3.5;22.2;229;188;108;54.0;89.47191179492064;1.685;1.48;1.013139647311986
36;3.6;22.1;231;190;108;54.0;89.83429755305933;1.695;1.49;1.0001145645695937
37;3.7;22.0;220;181;110;55.0;90.19199428141076;1.65;1.455;0.9870894818272014
38;3.8;22.0;230;189;109;54.5;90.54500197997491;1.695;1.49;0.974064399084809
39;3.9;22.1;218;179;113;56.5;90.89332064875181;1.655;1.46;0.9610393163424167
40;4.0;22.2;216;178;112;56.0;91.23695028774146;1.64;1.45;0.9480142336000243
41;4.1;22.1;221;182;112;56.0;91.57589089694385;1.665;1.47;0.934989150857632
42;4.2;22.1;224;184;113;56.5;91.91014247635896;1.685;1.485;0.9219640681152397
43;4.3;22.1;213;175;114;57.0;92.23970502598681;1.635;1.445;0.9089389853728473
44;4.4;22.1;219;180;114;57.0;92.5645785458274;1.665;1.47;0.895913902630455
45;4.5;22.1;216;178;114;57.0;92.88476303588074;1.65;1.46;0.8828888198880627
46;4.6;22.0;207;170;117;58.5;93.2002584961468;1.62;1.435;0.8698637371456703
47;4.7;22.0;205;169;116;58.0;93.51106492662562;1.605;1.425;0.8568386544032779
48;4.8;22.2;203;167;118;59.0;93.81718232731717;1.605;1.425;0.8438135716608856
49;4.9;22.0;209;172;117;58.5;94.11861069822146;1.63;1.445;0.8307884889184931
50;5.0;22.2;205;169;119;59.5;94.41535003933848;1.62;1.44;0.8177634061761009
51;5.1;22.0;202;166;119;59.5;94.70740035066825;1.605;1.425;0.8047383234337085
52;5.2;22.2;197;162;121;60.5;94.99476163221077;1.59;1.415;0.7917132406913161
53;5.3;22.1;187;154;123;61.5;95.277433883966;1.55;1.385;0.7786881579489239
54;5.4;22.2;193;159;122;61.0;95.55541710593397;1.575;1.405;0.7656630752065314
55;5.5;22.1;192;158;123;61.5;95.8287112981147;1.575;1.405;0.7526379924641392
56;5.6;22.0;188;155;124;62.0;96.09731646050815;1.56;1.395;0.7396129097217469
57;5.7;22.1;187;154;127;63.5;96.36123259311435;1.57;1.405;0.7265878269793543
58;5.8;22.1;188;155;126;63.0;96.62045969593329;1.57;1.405;0.713562744236962
59;5.9;22.1;175;144;129;64.5;96.87499776896497;1.52;1.365;0.7005376614945696
60;6.0;22.1;185;152;128;64.0;97.12484681220937;1.565;1.4;0.6875125787521773
61;6.1;22.1;175;144;130;65.0;97.37000682566654;1.525;1.37;0.674487496009785
62;6.2;22.2;176;145;131;65.5;97.61047780933643;1.535;1.38;0.6614624132673926
63;6.3;22.2;181;149;130;65.0;97.84625976321905;1.555;1.395;0.6484373305250003
64;6.4;22.1;168;138;132;66.0;98.07735268731443;1.5;1.35;0.6354122477826079
65;6.5;22.2;173;142;133;66.5;98.30375658162254;1.53;1.375;0.6223871650402156
66;6.6;22.2;157;129;136;68.0;98.52547144614338;1.465;1.325;0.6093620822978233
67;6.7;22.1;156;128;136;68.0;98.74249728087696;1.46;1.32;0.5963369995554307
68;6.8;22.2;153;126;138;69.0;98.9548340858233;1.455;1.32;0.5833119168130384
69;6.9;22.1;158;130;138;69.0;99.16248186098235;1.48;1.34;0.570286834070646
70;7.0;22.1;151;124;139;69.5;99.36544060635416;1.45;1.315;0.5572617513282537
71;7.1;22.0;144;118;142;71.0;99.5637103219387;1.43;1.3;0.5442366685858614
72;7.2;22.1;148;122;140;70.0;99.75729100773597;1.44;1.31;0.531211585843469
73;7.3;22.1;139;114;143;71.5;99.946182663746;1.41;1.285;0.5181865031010767
74;7.4;22.2;141;116;145;72.5;100.13038528996876;1.43;1.305;0.5051614203586843
75;7.5;22.0;138;113;144;72.0;100.30989888640424;1.41;1.285;0.49213633761629194
76;7.6;22.1;136;112;145;72.5;100.48472345305248;1.405;1.285;0.4791112548738997
77;7.7;22.0;136;112;147;73.5;100.65485898991345;1.415;1.295;0.46608617213150705
78;7.8;22.1;133;109;148;74.0;100.82030549698716;1.405;1.285;0.4530610893891147
79;7.9;22.1;133;109;149;74.5;100.98106297427361;1.41;1.29;0.4400360066467224
80;8.0;22.0;121;99;152;76.0;101.13713142177279;1.365;1.255;0.42701092390433004
81;8.1;22.1;122;100;151;75.5;101.28851083948474;1.365;1.255;0.4139858411619377
82;8.2;22.0;121;99;155;77.5;101.4352012274094;1.38;1.27;0.40096075841954537
83;8.3;22.2;112;92;155;77.5;101.5772025855468;1.335;1.235;0.3879356756771528
84;8.4;22.0;118;97;156;78.0;101.71451491389693;1.37;1.265;0.3749105929347607
85;8.5;22.1;106;87;159;79.5;101.84713821245983;1.325;1.23;0.36188551019236836
86;8.6;22.0;105;86;159;79.5;101.97507248123544;1.32;1.225;0.34886042744997603
87;8.7;22.1;101;83;160;80.0;102.0983177202238;1.305;1.215;0.33583534470758347
88;8.8;22.1;108;89;160;80.0;102.2168739294249;1.34;1.245;0.3228102619651909
89;8.9;22.2;102;84;162;81.0;102.33074110883875;1.32;1.23;0.3097851792227986
90;9.0;22.2;88;72;164;82.0;102.43991925846532;1.26;1.18;0.29676009648040624
91;9.1;22.0;91;75;165;82.5;102.54440837830464;1.28;1.2;0.28373501373801413
92;9.2;22.1;90;74;166;83.0;102.64420846835668;1.28;1.2;0.2707099309956218
93;9.3;22.0;94;77;166;83.0;102.7393195286215;1.3;1.215;0.25768484825322924
94;9.4;22.0;79;65;168;84.0;102.82974155909902;1.235;1.165;0.2446597655108369
95;9.5;22.2;77;63;169;84.5;102.9154745597893;1.23;1.16;0.23163468276844457
96;9.6;22.1;81;66;171;85.5;102.9965185306923;1.26;1.185;0.21860960002605223
97;9.7;22.1;73;60;171;85.5;103.07287347180805;1.22;1.155;0.2055845172836599
98;9.8;22.0;67;55;173;86.5;103.14453938313655;1.2;1.14;0.19255943454126712
99;9.9;22.2;68;56;173;86.5;103.21151626467775;1.205;1.145;0.17953435179887478
100;10.0;22.1;68;56;175;87.5;103.27380411643173;1.215;1.155;0.16650926905648245
101;10.1;22.1;73;60;175;87.5;103.33140293839844;1.24;1.175;0.15348418631409033
102;10.2;22.1;62;51;178;89.0;103.38431273057786;1.2;1.145;0.140459103571698
103;10.3;22.1;59;48;180;90.0;103.43253349297005;1.195;1.14;0.12743402082930544
