t;Eigengeschwindigkeit(m/s);Bbox_Breite;Bbox_Höhe;Bbox_links_unten_y;Abstand(m)
0;22;115;209;100;50
0,1;22,1;111;201;101;50,5
0,2;22;114;207;100;50
0,3;22,1;114;206;100;50
0,4;22,2;113;204;99;49,5
0,5;22,1;113;204;100;50
0,6;22,1;115;209;100;50
0,7;22,2;114;206;99;49,5
0,8;22,2;118;213;97;48,5
0,9;22;117;212;98;49
1;22,2;116;210;98;49
1,1;22,1;119;216;96;48
1,2;22,1;118;214;96;48
1,3;22,1;114;207;97;48,5
1,4;22,1;119;215;97;48,5
1,5;22,2;121;219;95;47,5
1,6;22,1;118;213;95;47,5
1,7;22,2;119;215;96;48
1,8;22;117;212;95;47,5
1,9;22;121;220;95;47,5
2;22;119;216;92;46
2,1;22,1;123;222;91;45,5
2,2;22,2;121;219;91;45,5
2,3;22;118;214;93;46,5
2,4;22,1;123;223;93;46,5
2,5;22,2;123;223;91;45,5
2,6;22,1;127;230;90;45
2,7;22,2;123;223;91;45,5
2,8;22;126;228;89;44,5
2,9;22;126;228;90;45
3;22;127;230;89;44,5
3,1;22,1;126;228;90;45
3,2;22,2;125;227;89;44,5
3,3;22,1;125;226;87;43,5
3,4;22;130;235;86;43
3,5;22,1;126;229;87;43,5
3,6;22,1;128;232;86;43
3,7;22;130;236;85;42,5
3,8;22,1;129;234;86;43
3,9;22,1;128;231;86;43
4;22,2;128;231;85;42,5
4,1;22,1;130;235;85;42,5
4,2;22,2;134;242;84;42
4,3;22,1;134;242;82;41
4,4;22,1;132;239;84;42
4,5;22;131;237;82;41
4,6;22,1;134;242;82;41
4,7;22,1;134;243;81;40,5
4,8;22,1;132;240;81;40,5
4,9;22;136;247;80;40
5;22,1;131;237;82;41
5,1;22,1;132;240;81;40,5
5,2;22,2;135;244;80;40
5,3;22,1;140;253;78;39
5,4;22,2;137;248;78;39
5,5;22,2;137;249;77;38,5
5,6;22;137;249;77;38,5
5,7;22,2;136;247;77;38,5
5,8;22;137;248;78;39
5,9;22,1;137;249;77;38,5
6;22,2;139;251;75;37,5
6,1;22,2;139;251;75;37,5
6,2;22;141;256;75;37,5
6,3;22,1;142;257;75;37,5
6,4;22;143;260;73;36,5
6,5;22,2;142;258;74;37
6,6;22,1;140;254;75;37,5
6,7;22,1;145;263;73;36,5
6,8;22;145;262;73;36,5
6,9;22,2;145;262;73;36,5
7;22,1;143;260;73;36,5
7,1;22,2;147;267;70;35
7,2;22;146;264;71;35,5
7,3;22,1;145;263;70;35
7,4;22,1;146;265;70;35
7,5;22;145;262;71;35,5
7,6;22,1;144;261;70;35
7,7;22,2;146;264;70;35
7,8;22,1;147;266;68;34
7,9;22;149;270;67;33,5
8;22;146;264;69;34,5
8,1;22,1;151;273;68;34
8,2;22,2;150;272;66;33
8,3;22,2;152;275;66;33
8,4;22,2;150;272;65;32,5
8,5;22,1;153;278;65;32,5
8,6;22;152;275;66;33
8,7;22,1;154;279;64;32
8,8;22,1;155;281;64;32
8,9;22;151;274;65;32,5
9;22,1;184;275;64;32
9,1;22;153;277;63;31,5
9,2;22;156;282;63;31,5
9,3;22,1;154;279;62;31
9,4;22,1;154;280;62;31
9,5;22,1;155;281;60;30
9,6;22;158;287;60;30
9,7;22,2;154;280;62;31
9,8;22,1;158;286;61;30,5
9,9;22,1;158;286;61;30,5
10;22;155;281;61;30,5
10,1;22;157;284;58;29
10,2;22,1;158;287;60;30
10,3;22;159;289;57;28,5
